timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-03-25 13:55:00,3.62,3.64,3.64,3.62,2909.0,0.02,0.55,3.63,3.631,3.6215,2467.6,4048.4,6177.8,0.03
2020-03-25 14:00:00,3.63,3.65,3.65,3.63,4556.0,0.02,0.55,3.634,3.631,3.625,2930.0,3658.7,6202.55,0.05
2020-03-25 14:05:00,3.65,3.65,3.65,3.64,2328.0,0.0,0.0,3.638,3.633,3.6285,3102.4,3209.2,6132.9,0.03
2020-03-25 14:10:00,3.65,3.65,3.64,3.64,2758.0,-0.01,-0.27,3.64,3.634,3.631,3233.0,3248.3,5761.85,0.03
2020-03-25 14:15:00,3.64,3.65,3.64,3.64,2390.0,0.0,0.0,3.644,3.636,3.6335,2988.2,2725.2,5672.0,0.03
2020-03-25 14:20:00,3.64,3.65,3.63,3.63,4233.0,-0.01,-0.27,3.642,3.636,3.635,3253.0,2860.3,5387.95,0.05
2020-03-25 14:25:00,3.63,3.64,3.63,3.63,3950.0,0.0,0.0,3.638,3.636,3.635,3131.8,3030.9,4933.65,0.05
2020-03-25 14:30:00,3.63,3.68,3.68,3.63,11705.0,0.05,1.38,3.644,3.641,3.638,5007.2,4054.8,5286.05,0.14
2020-03-25 14:35:00,3.68,3.7,3.67,3.67,15989.0,-0.01,-0.27,3.65,3.645,3.64,7653.4,5443.2,5875.75,0.19
2020-03-25 14:40:00,3.68,3.68,3.66,3.66,5595.0,-0.02,-0.54,3.654,3.649,3.6405,8294.4,5641.3,5673.7,0.07
2020-03-25 14:45:00,3.66,3.68,3.67,3.66,7580.0,0.01,0.27,3.662,3.652,3.6415,8963.8,6108.4,5078.4,0.09
2020-03-25 14:50:00,3.68,3.69,3.68,3.67,13905.0,0.0,0.0,3.672,3.655,3.643,10954.8,7043.3,5351.0,0.17
2020-03-25 14:55:00,3.68,3.7,3.69,3.68,10557.0,0.01,0.27,3.674,3.659,3.646,10725.2,7866.2,5537.7,0.13
2020-03-25 15:00:00,3.7,3.7,3.7,3.69,7820.0,0.0,0.0,3.68,3.665,3.6495,9091.4,8372.4,5810.35,0.09
2020-03-26 09:35:00,3.68,3.68,3.65,3.63,17538.0,-0.03,-0.82,3.678,3.666,3.651,11480.0,9887.2,6306.2,0.21
2020-03-26 09:40:00,3.66,3.68,3.68,3.65,8744.0,0.02,0.55,3.68,3.671,3.6535,11712.8,10338.3,6599.3,0.11
2020-03-26 09:45:00,3.66,3.68,3.67,3.66,9732.0,0.01,0.27,3.678,3.675,3.6555,10878.2,10916.5,6973.7,0.12
2020-03-26 09:50:00,3.67,3.72,3.71,3.66,13013.0,0.04,1.09,3.682,3.678,3.6595,11369.4,11047.3,7551.05,0.16
2020-03-26 09:55:00,3.71,3.71,3.7,3.69,11050.0,-0.01,-0.27,3.682,3.681,3.663,12015.4,10553.4,7998.3,0.13
2020-03-26 10:00:00,3.7,3.74,3.73,3.7,10028.0,0.03,0.81,3.698,3.688,3.6685,10513.4,10996.7,8319.0,0.12
2020-03-26 10:05:00,3.72,3.73,3.69,3.69,14841.0,-0.03,-0.81,3.7,3.69,3.671,11732.8,11722.8,8915.6,0.18
2020-03-26 10:10:00,3.69,3.7,3.69,3.67,5628.0,0.0,0.0,3.704,3.691,3.673,10912.0,10895.1,8969.2,0.07
2020-03-26 10:15:00,3.69,3.7,3.7,3.68,5357.0,0.01,0.27,3.702,3.692,3.6755,9380.8,10375.1,9120.65,0.06
2020-03-26 10:20:00,3.7,3.7,3.69,3.68,4665.0,-0.01,-0.27,3.7,3.691,3.678,8103.8,10059.6,9216.0,0.06
2020-03-26 10:25:00,3.69,3.69,3.68,3.67,3705.0,-0.01,-0.27,3.69,3.694,3.68,6839.2,8676.3,9281.75,0.04
2020-03-26 10:30:00,3.68,3.7,3.69,3.68,1217.0,0.01,0.27,3.69,3.695,3.683,4114.4,7923.6,9130.95,0.01
2020-03-26 10:35:00,3.69,3.69,3.69,3.68,2224.0,0.0,0.0,3.69,3.697,3.686,3433.6,7172.8,9044.65,0.03
2020-03-26 10:40:00,3.69,3.69,3.67,3.67,5399.0,-0.02,-0.54,3.684,3.693,3.6855,3442.0,6411.4,8729.35,0.06
2020-03-26 10:45:00,3.67,3.69,3.68,3.67,3420.0,0.01,0.27,3.682,3.691,3.686,3193.0,5648.4,8100.9,0.04
2020-03-26 10:50:00,3.68,3.68,3.67,3.67,1971.0,-0.01,-0.27,3.68,3.685,3.6865,2846.2,4842.7,7919.7,0.02
2020-03-26 10:55:00,3.68,3.68,3.66,3.66,3032.0,-0.02,-0.54,3.674,3.682,3.686,3209.2,3661.8,7692.3,0.04
2020-03-26 11:00:00,3.67,3.67,3.66,3.66,3238.0,-0.01,-0.27,3.668,3.679,3.685,3412.0,3422.8,7158.95,0.04
2020-03-26 11:05:00,3.66,3.67,3.66,3.66,2694.0,0.0,0.0,3.666,3.675,3.6835,2871.0,3156.5,6765.8,0.03
2020-03-26 11:10:00,3.66,3.67,3.66,3.65,3626.0,0.0,0.0,3.662,3.672,3.6815,2912.2,3052.6,6556.1,0.04
2020-03-26 11:15:00,3.66,3.66,3.65,3.65,3608.0,-0.01,-0.27,3.658,3.669,3.6815,3239.6,3042.9,5859.6,0.04
2020-03-26 11:20:00,3.65,3.66,3.64,3.63,4527.0,-0.01,-0.27,3.654,3.664,3.6795,3538.6,3373.9,5648.75,0.05
2020-03-26 11:25:00,3.64,3.65,3.63,3.63,5678.0,-0.01,-0.27,3.648,3.658,3.6775,4026.6,3719.3,5446.05,0.07
2020-03-26 11:30:00,3.62,3.63,3.63,3.62,1680.0,0.01,0.28,3.642,3.654,3.6735,3823.8,3347.4,4879.4,0.02
2020-03-26 13:05:00,3.63,3.64,3.63,3.63,2567.0,0.0,0.0,3.636,3.649,3.67,3612.0,3262.1,4455.25,0.03
2020-03-26 13:10:00,3.63,3.65,3.64,3.63,2120.0,0.01,0.28,3.634,3.646,3.6655,3314.4,3277.0,4059.85,0.03
2020-03-26 13:15:00,3.64,3.65,3.65,3.63,1782.0,0.01,0.27,3.636,3.645,3.6635,2765.4,3152.0,3406.9,0.02
2020-03-26 13:20:00,3.65,3.67,3.67,3.64,5590.0,0.02,0.55,3.644,3.646,3.6625,2747.8,3387.2,3405.0,0.07
2020-03-26 13:25:00,3.67,3.68,3.66,3.66,3697.0,-0.01,-0.27,3.65,3.646,3.6605,3151.2,3487.5,3322.0,0.04
2020-03-26 13:30:00,3.66,3.67,3.67,3.66,779.0,0.01,0.27,3.658,3.647,3.6595,2793.6,3202.8,3127.7,0.01
2020-03-26 13:35:00,3.67,3.67,3.67,3.66,1671.0,0.0,0.0,3.664,3.649,3.659,2703.8,3009.1,3026.0,0.02
2020-03-26 13:40:00,3.67,3.7,3.69,3.66,5195.0,0.02,0.54,3.672,3.654,3.659,3386.4,3075.9,3224.9,0.06
2020-03-26 13:45:00,3.7,3.71,3.71,3.7,7752.0,0.01,0.27,3.68,3.662,3.66,3818.8,3283.3,3501.3,0.09
2020-03-26 13:50:00,3.7,3.71,3.68,3.68,6407.0,-0.02,-0.54,3.684,3.667,3.6605,4360.8,3756.0,3551.7,0.08
2020-03-26 13:55:00,3.68,3.69,3.66,3.66,3636.0,-0.02,-0.54,3.682,3.67,3.6595,4932.2,3862.9,3562.5,0.04
2020-03-26 14:00:00,3.66,3.67,3.67,3.66,3296.0,0.01,0.27,3.682,3.673,3.6595,5257.2,3980.5,3628.75,0.04
2020-03-26 14:05:00,3.66,3.67,3.66,3.65,3091.08,0.0,0.0,3.676,3.674,3.6595,4836.42,4111.41,3631.7,0.04
2020-03-26 14:10:00,3.66,3.67,3.67,3.66,1962.0,0.01,0.27,3.668,3.674,3.66,3678.42,3748.61,3567.9,0.02
2020-03-26 14:15:00,3.66,3.67,3.65,3.65,2666.92,-0.01,-0.27,3.662,3.673,3.6595,2930.4,3645.6,3566.55,0.03
2020-03-26 14:20:00,3.65,3.66,3.65,3.65,2620.0,0.0,0.0,3.66,3.671,3.659,2727.2,3829.7,3516.25,0.03
2020-03-26 14:25:00,3.65,3.66,3.65,3.64,3375.0,0.0,0.0,3.656,3.669,3.659,2743.0,4000.1,3504.6,0.04
2020-03-26 14:30:00,3.65,3.66,3.65,3.65,2269.02,0.0,0.0,3.654,3.665,3.6595,2578.59,3707.5,3391.7,0.03
2020-03-26 14:35:00,3.65,3.67,3.66,3.65,3475.0,0.01,0.27,3.652,3.66,3.661,2881.19,3279.8,3281.55,0.04
2020-03-26 14:40:00,3.66,3.66,3.66,3.65,1398.0,0.0,0.0,3.654,3.658,3.6625,2627.4,2778.9,3267.45,0.02
2020-03-26 14:45:00,3.65,3.66,3.65,3.64,4636.04,0.0,0.0,3.654,3.657,3.6635,3030.61,2878.91,3370.9,0.06
2020-03-26 14:50:00,3.66,3.66,3.64,3.64,4910.96,-0.02,-0.55,3.652,3.654,3.6635,3337.8,3040.4,3510.45,0.06
2020-03-26 14:55:00,3.64,3.65,3.65,3.63,10129.0,0.01,0.27,3.652,3.653,3.6635,4909.8,3744.19,3927.8,0.12
2020-03-26 15:00:00,3.65,3.65,3.64,3.63,3878.0,-0.01,-0.27,3.648,3.65,3.662,4990.4,3935.79,3842.2,0.05
2020-03-27 09:35:00,3.64,3.73,3.72,3.64,32541.0,0.08,2.2,3.66,3.657,3.665,11219.0,6923.2,5284.4,0.39
