timestamp,open,high,low,close,volume
2020-03-30 09:31:00,61.16,61.16,61.16,61.16,0
2020-03-30 09:36:00,61.0,61.0,61.0,61.0,469
2020-03-30 09:39:00,60.0,60.0,60.0,60.0,0
2020-03-30 09:43:00,59.86,59.86,59.86,59.86,2883
2020-03-30 09:44:00,59.54,59.54,59.54,59.54,446
2020-03-30 09:45:00,59.5286,59.5286,59.5286,59.5286,170
2020-03-30 09:46:00,59.5,59.5,59.5,59.5,0
2020-03-30 09:49:00,59.7317,60.19,59.7038,59.7317,8237
2020-03-30 09:51:00,59.79,60.4655,59.79,60.4655,2248
2020-03-30 09:52:00,60.255,60.255,60.01,60.01,392
2020-03-30 09:54:00,60.255,60.255,60.255,60.255,104
2020-03-30 09:55:00,60.1244,60.1244,60.1244,60.1244,224
2020-03-30 09:58:00,59.815,60.67,59.815,59.9,368
2020-03-30 09:59:00,60.235,60.235,60.235,60.235,94
2020-03-30 10:00:00,59.8,59.8,59.8,59.8,283
2020-03-30 10:04:00,60.225,60.225,60.225,60.225,277
2020-03-30 10:05:00,59.825,60.331,59.34,59.34,1723
2020-03-30 10:06:00,59.34,59.45,59.34,59.45,1646
2020-03-30 10:08:00,59.16,59.45,59.16,59.45,477
2020-03-30 10:13:00,59.4597,60.9735,59.2588,59.4597,634
2020-03-30 10:14:00,59.8,60.01,59.45,60.01,369
2020-03-30 10:16:00,59.64,59.64,59.085,59.45,340
2020-03-30 10:17:00,59.45,59.78,59.305,59.305,777
2020-03-30 10:18:00,59.4,59.4,58.975,58.975,441
2020-03-30 10:19:00,58.7655,59.7837,58.6176,59.2256,455
2020-03-30 10:20:00,58.75,59.26,58.75,58.91,2033
2020-03-30 10:21:00,58.77,59.24,58.77,58.78,952
2020-03-30 10:22:00,58.7968,58.86,58.7968,58.86,624
2020-03-30 10:23:00,59.16,59.16,59.16,59.16,209
2020-03-30 10:24:00,58.825,59.485,58.825,59.2,2151
2020-03-30 10:27:00,59.55,59.71,59.28,59.3,1619
2020-03-30 10:28:00,59.27,59.28,58.55,59.08,752
2020-03-30 10:30:00,58.93,59.16,58.93,58.98,1304
2020-03-30 10:31:00,58.9809,58.9809,58.9809,58.9809,226
2020-03-30 10:32:00,58.96,59.21,58.525,58.525,2040
2020-03-30 10:33:00,58.52,59.18,58.52,59.135,1666
2020-03-30 10:34:00,58.6,59.12,58.575,59.12,889
2020-03-30 10:36:00,59.24,60.1,59.06,59.995,2374
2020-03-30 10:38:00,58.805,58.805,58.805,58.805,266
2020-03-30 10:39:00,59.85,60.14,59.35,60.14,620
2020-03-30 10:40:00,59.3,59.8,59.3,59.6147,2227
2020-03-30 10:42:00,59.38,59.38,58.74,59.115,724
2020-03-30 10:43:00,59.12,59.32,59.12,59.32,888
2020-03-30 10:44:00,58.63,58.935,58.605,58.935,255
2020-03-30 10:45:00,59.06,59.06,58.595,58.595,190
2020-03-30 10:46:00,58.99,59.11,58.86,58.86,1867
2020-03-30 10:47:00,59.11,59.27,58.71,59.16,675
2020-03-30 10:50:00,59.33,59.49,59.14,59.15,1783
2020-03-30 10:53:00,58.985,58.985,58.985,58.985,702
2020-03-30 10:54:00,59.24,59.24,59.24,59.24,209
2020-03-30 10:55:00,59.05,59.24,59.05,59.24,969
2020-03-30 10:56:00,59.09,59.165,58.94,58.94,706
2020-03-30 10:57:00,58.99,58.99,58.99,58.99,97
2020-03-30 11:00:00,58.83,59.5,58.53,59.47,887
2020-03-30 11:01:00,58.86,58.965,58.86,58.965,263
2020-03-30 11:02:00,59.485,60.03,58.98,59.11,1758
2020-03-30 11:03:00,58.93,58.965,58.93,58.965,631
2020-03-30 11:04:00,59.07,59.42,58.74,59.19,4284
2020-03-30 11:05:00,59.19,59.715,59.11,59.715,2128
2020-03-30 11:06:00,59.98,59.98,59.52,59.715,1207
2020-03-30 11:08:00,59.78,59.85,59.46,59.46,1065
2020-03-30 11:10:00,59.82,59.82,59.42,59.42,1590
2020-03-30 11:12:00,59.43,59.5195,59.43,59.5195,267
2020-03-30 11:13:00,59.62,59.62,59.47,59.47,310
2020-03-30 11:14:00,59.62,59.77,59.62,59.77,255
2020-03-30 11:15:00,59.985,59.985,59.985,59.985,103
2020-03-30 11:20:00,60.0,60.6,60.0,60.02,1288
2020-03-30 11:23:00,60.63,60.71,60.0425,60.275,957
2020-03-30 11:24:00,60.52,60.86,60.38,60.38,734
2020-03-30 11:27:00,60.44,60.44,60.44,60.44,164
2020-03-30 11:28:00,60.42,60.68,60.42,60.68,323
2020-03-30 11:31:00,60.86,61.36,60.64,61.165,3995
2020-03-30 11:33:00,61.21,61.9,61.06,61.75,5083
2020-03-30 11:34:00,61.9,61.9,61.41,61.82,396
2020-03-30 11:35:00,61.43,61.96,61.25,61.82,1717
2020-03-30 11:37:00,61.89,61.99,61.66,61.66,340
2020-03-30 11:38:00,61.94,62.86,61.72,62.15,2327
2020-03-30 11:39:00,62.06,62.47,62.06,62.47,612
